when,walk,menseki,kaisu,yachin
23929,16,21.26,3,5.0
23926,22,43.74,2,8.3
23926,3,21.45,3,5.2
23923,17,19.4,3,5.5
23919,5,20.12,2,5.7
23919,16,16.69,2,3.9
23918,4,24.15,4,7.0
23917,5,15.39,2,3.8
23907,8,17.01,2,4.0
23904,13,17.61,4,5.2
23901,20,25.38,3,6.1
23896,13,42.0,2,10.0
23895,5,27.94,2,6.5
23892,1,19.04,3,4.9
23890,5,17.03,2,4.0
23884,1,15.39,2,3.5
23883,7,16.0,3,4.1
23880,1,17.42,3,4.7
23879,11,17.82,2,5.0
23876,3,25.52,2,5.5
23876,12,17.01,3,5.0
23875,3,33.71,4,9.5
23872,20,19.0,2,4.5
23871,5,20.52,3,5.2
23871,10,19.85,3,4.8
23869,9,19.44,2,4.5
23869,8,17.0,3,6.0
23865,8,45.0,3,8.8
23865,10,14.58,2,4.0
23861,5,48.95,6,10.0
23860,7,19.05,3,6.0
23857,3,48.6,2,8.7
23855,9,19.87,2,5.1
23849,1,21.45,3,5.0
23849,17,43.34,4,8.5
23848,2,20.0,2,4.5
23846,6,37.0,2,6.5
23845,6,38.07,4,7.0
23845,13,38.88,2,6.0
23840,7,17.01,2,4.4
23837,3,19.0,4,7.2
23837,3,52.1,5,10.5
23836,3,46.2,5,10.5
23835,15,17.01,2,6.0
23835,5,21.06,2,5.0
23831,6,23.49,2,5.0
23817,3,17.01,3,3.9
23816,10,22.3,2,4.5
23813,11,25.0,2,5.5
23809,8,20.0,2,4.7
23799,2,19.06,2,4.6
23797,17,36.86,2,6.5
23786,7,32.4,2,6.6
23761,7,16.5,2,3.8
23755,15,21.87,2,4.5
23745,8,19.44,2,5.5
23743,14,25.92,3,5.5
23737,2,35.0,2,5.0
23702,19,17.35,2,4.2
23695,11,24.28,2,4.8
23691,3,15.23,2,3.9
23688,8,24.75,2,4.3
23687,11,19.44,2,5.2
23683,23,17.01,2,4.5
23655,3,12.38,2,2.5
23654,7,17.0,2,5.4
23650,3,12.96,2,3.0
23619,10,21.87,2,5.0
23616,3,23.9,2,4.0
23891,3,19.44,3,6.0
23878,1,44.34,3,8.8
23859,2,19.44,2,4.4
23916,40,49.5,2,8.0
